temperature,s_pa400,v_pa400,u_pa400,h_pa400,s_pa600,v_pa600,u_pa600,h_pa600
0,0.05992,61.13,85.10,5.1268,0.04046,62.57,86.85,5.0411
100,0.06806,69.30,96.52,5.2466,0.04299,66.41,92.20,5.0957
120,0.08486,85.48,119.42,5.4556,0.05510,83.73,116.79,5.3204
140,0.10085,101.06,141.40,5.6250,0.06620,99.75,139.47,5.4953
160,0.11647,116.38,162.96,5.7690,0.07689,115.34,161.47,5.6422
180,0.13186,131.55,184.30,5.8947,0.08734,130.69,183.10,5.7696
200,0.14712,146.64,205.49,6.0063,0.09766,145.91,204.50,5.8823
220,0.16228,161.68,226.59,6.1069,0.10788,161.04,225.76,5.9837
240,0.17738,176.67,247.62,6.1984,0.11803,176.11,246.92,6.0757
260,0.19243,191.64,268.61,6.2824,0.12813,191.13,268.01,6.1601
280,0.20745,206.58,289.56,6.3600,0.13820,206.13,289.05,6.2381
300,0.22244,221.52,310.50,6.4322,0.14824,221.11,310.06,6.3105
350,0.25982,258.85,362.78,6.5934,0.17326,258.52,362.48,6.4722
400,0.29712,296.25,415.10,6.7331,0.19819,295.97,414.89,6.6121
450,0.33437,333.81,467.56,6.8567,0.22308,333.57,467.42,6.7359
500,0.37159,371.65,520.28,6.9678,0.24792,371.45,520.20,6.8471
600,0.44595,448.55,626.93,7.1622,0.29755,448.40,626.93,7.0416
700,0.52025,527.55,735.65,7.3298,0.34712,527.43,735.70,7.2093
800,0.59453,608.92,846.73,7.4781,0.39666,608.82,846.82,7.3576
900,0.66878,692.67,960.19,7.6117,0.44618,692.59,960.30,7.4912
1000,0.74302,778.68,1075.89,7.7335,0.49568,778.61,1076.02,7.6131