temperature,pressure,sat_liquid_enthalpy,evaporation_enthalpy,sat_vapor_enthalpy,sat_liquid_entropy,evaporation_entropy,sat_vapor_entropy
0.6113,0.01,0.00,2501.3,2501.3,0,9.1562,9.1562
1.0,6.98,29.29,2484.89,2514.18,0.1059,8.8697,8.9756
1.5,13.03,54.70,2470.59,2525.30,0.1956,8.6322,8.8278
2.0,17.50,73.47,2460.02,2533.49,0.2607,8.4629,8.7236
2.5,21.08,88.47,2451.56,2540.03,0.3120,8.3311,8.6431
3.0,24.08,101.03,2444.47,2545.50,0.3545,8.2231,8.5775
4.0,28.96,121.44,2432.93,2554.37,0.4226,8.0520,8.4746
5.0,32.88,137.79,2423.66,2561.45,0.4763,7.9187,8.3950
7.5,40.29,168.77,2406.02,2574.79,0.5763,7.6751,8.2514
10,45.81,191.81,2392.82,2584.63,0.6492,7.5010,8.1501
15,53.97,225.91,2373.14,2599.06,0.7548,7.2536,8.0084
20,60.06,251.38,2358.33,2609.70,0.8319,7.0766,7.9085
25,64.97,271.90,2346.29,2618.19,0.8930,6.9383,7.8313
30,69.10,289.21,2336.07,2625.28,0.9439,6.8247,7.7686
40,75.87,317.55,2319.19,2636.74,1.0258,6.6441,7.6700
50,81.33,340.47,2305.40,2645.87,1.0910,6.5029,7.5939
75,91.77,384.36,2278.59,2662.96,1.2129,6.2434,7.4563
100,99.62,417.44,2258.02,2675.46,1.3025,6.0568,7.3593
125,105.99,444.30,2241.05,2685.35,1.3739,5.9104,7.2843
150,111.37,467.08,2226.46,2693.54,1.4335,5.7897,7.2232
175,116.06,486.97,2213.57,2700.53,1.4848,5.6868,7.1717
200,120.23,504.68,2201.96,2706.63,1.5300,5.5970,7.1271
225,124.00,520.69,2191.35,2712.04,1.5705,5.5173,7.0878
250,127.43,535.34,2181.55,2716.89,1.6072,5.4455,7.0526
275,130.60,548.87,2172.42,2721.29,1.6407,5.3801,7.0208
300,133.55,561.45,2163.85,2725.30,1.6717,5.3201,6.9918
325,136.30,573.23,2155.76,2728.99,1.7005,5.2646,6.9651
350,138.88,584.31,2148.10,2732.40,1.7274,5.2130,6.9404
375,141.32,594.79,2140.79,2735.58,1.7527,5.1647,6.9174
400,143.63,604.73,2133.81,2738.53,1.7766,5.1193,6.8958
450,147.93,623.24,2120.67,2743.91,1.8206,5.0359,6.8565
500,151.86,640.21,2108.47,2748.67,1.8606,4.9606,6.8212
550,155.48,655.91,2097.04,2752.94,1.8972,4.8920,6.7892
600,158.85,670.54,2086.26,2756.80,1.9311,4.8289,6.7600
650,162.01,684.26,2076.04,2760.30,1.9627,4.7704,6.7330
700,164.97,697.20,2066.30,2763.50,1.9922,4.7158,6.7080
750,167.77,709.45,2056.98,2766.43,2.0199,4.6647,6.6846
800,170.43,721.10,2048.04,2769.13,2.0461,4.6166,6.6627
850,172.96,732.20,2039.43,2771.63,2.0709,4.5711,6.6421
900,175.38,742.82,2031.12,2773.94,2.0946,4.5280,6.6225
950,177.69,753.00,2023.08,2776.08,2.1171,4.4869,6.6040
1000,179.91,762.79,2015.29,2778.08,2.1386,4.4478,6.5864
1100,184.09,781.32,2000.36,2781.68,2.1791,4.3744,6.5535
1200,187.99,798.64,1986.19,2784.82,2.2165,4.3067,6.5233
1300,191.64,814.91,1972.67,2787.58,2.2514,4.2438,6.4953
1400,195.07,830.29,1959.72,2790.00,2.2842,4.1850,6.4692
1500,198.32,844.87,1947.28,2792.15,2.3150,4.1298,6.4448
1750,205.76,878.48,1917.95,2796.43,2.3851,4.0044,6.3895
2000,212.42,908.77,1890.74,2799.51,2.4473,3.8935,6.3408
2250,218.45,936.48,1865.19,2801.67,2.5034,3.7938,6.2971
2500,223.99,962.09,1840.98,2803.07,2.5546,3.7028,6.2574
2750,229.12,985.97,1817.89,2803.86,2.6018,3.6190,6.2208
3000,233.90,1008.41,1795.73,2804.14,2.6456,3.5412,6.1869
3250,238.38,1029.60,1774.37,2803.97,2.6866,3.4685,6.1551
3500,242.60,1049.73,1753.70,2803.43,2.7252,3.4000,6.1252
4000,250.40,1087.29,1714.09,2801.38,2.7963,3.2737,6.0700
5000,263.99,1154.21,1640.12,2794.33,2.9201,3.0532,5.9733
6000,275.64,1213.32,1571.00,2784.33,3.0266,2.8625,5.8891
7000,285.88,1266.97,1505.10,2772.07,3.1210,2.6922,5.8132
8000,295.06,1316.61,1441.33,2757.94,3.2067,2.5365,5.7431
9000,303.40,1363.23,1378.88,2742.11,3.2857,2.3915,5.6771
10000,311.06,1407.53,1317.14,2724.67,3.3595,2.2545,5.6140
11000,318.15,1450.05,1255.55,2705.60,3.4294,2.1233,5.5527
12000,324.75,1491.24,1193.59,2684.83,3.4961,1.9962,5.4923
13000,330.93,1531.46,1130.76,2662.22,3.5604,1.8718,5.4323
14000,336.75,1571.08,1066.47,2637.55,3.6231,1.7485,5.3716
15000,342.24,1610.45,1000.04,2610.49,3.6847,1.6250,5.3097
16000,347.43,1650.00,930.59,2580.59,3.7460,1.4995,5.2454
17000,352.37,1690.25,856.90,2547.15,3.8078,1.3698,5.1776
18000,357.06,1731.97,777.13,2509.09,3.8713,1.2330,5.1044
19000,361.54,1776.43,688.11,2464.54,3.9387,1.0841,5.0227
20000,365.81,1826.18,583.56,2409.74,4.0137,0.9132,4.9269
21000,369.89,1888.30,446.42,2334.72,4.1073,0.6942,4.8015
22000,373.80,2034.92,124.04,2158.97,4.3307,0.1917,4.5224
22089,374.14,2099.26,0,2099.26,4.4297,0,4.4297